row,col,day,population_id,piperacillin (ug/ml),measurement_type,measurement_value
0,0,0,0|0,0,CFP,8.497
0,1,0,0|1,0,CFP,11.55
0,2,0,0|2,0,CFP,14.04
0,3,0,0|3,0,CFP,16.34
0,4,0,0|4,0,CFP,19.8
0,5,0,0|5,0,CFP,26.82
0,6,0,0|6,0,CFP,27.74
0,7,0,0|7,0,CFP,32.08
0,8,0,0|8,0,CFP,46.49
0,9,0,0|9,0,CFP,48.71
0,10,0,0|10,0,CFP,59.15
0,11,0,0|11,0,CFP,67.89
1,0,0,1|0,2,CFP,8.497
1,1,0,1|1,2,CFP,11.55
1,2,0,1|2,2,CFP,14.04
1,3,0,1|3,2,CFP,16.34
1,4,0,1|4,2,CFP,19.8
1,5,0,1|5,2,CFP,26.82
1,6,0,1|6,2,CFP,27.74
1,7,0,1|7,2,CFP,32.08
1,8,0,1|8,2,CFP,46.49
1,9,0,1|9,2,CFP,48.71
1,10,0,1|10,2,CFP,59.15
1,11,0,1|11,2,CFP,67.89
2,0,0,2|0,5,CFP,8.497
2,1,0,2|1,5,CFP,11.55
2,2,0,2|2,5,CFP,14.04
2,3,0,2|3,5,CFP,16.34
2,4,0,2|4,5,CFP,19.8
2,5,0,2|5,5,CFP,26.82
2,6,0,2|6,5,CFP,27.74
2,7,0,2|7,5,CFP,32.08
2,8,0,2|8,5,CFP,46.49
2,9,0,2|9,5,CFP,48.71
2,10,0,2|10,5,CFP,59.15
2,11,0,2|11,5,CFP,67.89
3,0,0,3|0,20,CFP,8.497
3,1,0,3|1,20,CFP,11.55
3,2,0,3|2,20,CFP,14.04
3,3,0,3|3,20,CFP,16.34
3,4,0,3|4,20,CFP,19.8
3,5,0,3|5,20,CFP,26.82
3,6,0,3|6,20,CFP,27.74
3,7,0,3|7,20,CFP,32.08
3,8,0,3|8,20,CFP,46.49
3,9,0,3|9,20,CFP,48.71
3,10,0,3|10,20,CFP,59.15
3,11,0,3|11,20,CFP,67.89
4,0,0,4|0,50,CFP,8.497
4,1,0,4|1,50,CFP,11.55
4,2,0,4|2,50,CFP,14.04
4,3,0,4|3,50,CFP,16.34
4,4,0,4|4,50,CFP,19.8
4,5,0,4|5,50,CFP,26.82
4,6,0,4|6,50,CFP,27.74
4,7,0,4|7,50,CFP,32.08
4,8,0,4|8,50,CFP,46.49
4,9,0,4|9,50,CFP,48.71
4,10,0,4|10,50,CFP,59.15
4,11,0,4|11,50,CFP,67.89
5,0,0,5|0,100,CFP,8.497
5,1,0,5|1,100,CFP,11.55
5,2,0,5|2,100,CFP,14.04
5,3,0,5|3,100,CFP,16.34
5,4,0,5|4,100,CFP,19.8
5,5,0,5|5,100,CFP,26.82
5,6,0,5|6,100,CFP,27.74
5,7,0,5|7,100,CFP,32.08
5,8,0,5|8,100,CFP,46.49
5,9,0,5|9,100,CFP,48.71
5,10,0,5|10,100,CFP,59.15
5,11,0,5|11,100,CFP,67.89
6,0,0,6|0,200,CFP,8.497
6,1,0,6|1,200,CFP,11.55
6,2,0,6|2,200,CFP,14.04
6,3,0,6|3,200,CFP,16.34
6,4,0,6|4,200,CFP,19.8
6,5,0,6|5,200,CFP,26.82
6,6,0,6|6,200,CFP,27.74
6,7,0,6|7,200,CFP,32.08
6,8,0,6|8,200,CFP,46.49
6,9,0,6|9,200,CFP,48.71
6,10,0,6|10,200,CFP,59.15
6,11,0,6|11,200,CFP,67.89
7,0,0,7|0,1000,CFP,8.497
7,1,0,7|1,1000,CFP,11.55
7,2,0,7|2,1000,CFP,14.04
7,3,0,7|3,1000,CFP,16.34
7,4,0,7|4,1000,CFP,19.8
7,5,0,7|5,1000,CFP,26.82
7,6,0,7|6,1000,CFP,27.74
7,7,0,7|7,1000,CFP,32.08
7,8,0,7|8,1000,CFP,46.49
7,9,0,7|9,1000,CFP,48.71
7,10,0,7|10,1000,CFP,59.15
7,11,0,7|11,1000,CFP,67.89
0,0,0,0|0,0,OD,1.37434012317
0,1,0,0|1,0,OD,1.70581391191
0,2,0,0|2,0,OD,1.76748972924
0,3,0,0|3,0,OD,1.41983062407
0,4,0,0|4,0,OD,1.50978278127
0,5,0,0|5,0,OD,1.69854399582
0,6,0,0|6,0,OD,1.60414981218
0,7,0,0|7,0,OD,1.50759143247
0,8,0,0|8,0,OD,1.95427225096
0,9,0,0|9,0,OD,1.6840860964
0,10,0,0|10,0,OD,1.77754404533
0,11,0,0|11,0,OD,1.67450753253
1,0,0,1|0,2,OD,1.37434012317
1,1,0,1|1,2,OD,1.70581391191
1,2,0,1|2,2,OD,1.76748972924
1,3,0,1|3,2,OD,1.41983062407
1,4,0,1|4,2,OD,1.50978278127
1,5,0,1|5,2,OD,1.69854399582
1,6,0,1|6,2,OD,1.60414981218
1,7,0,1|7,2,OD,1.50759143247
1,8,0,1|8,2,OD,1.95427225096
1,9,0,1|9,2,OD,1.6840860964
1,10,0,1|10,2,OD,1.77754404533
1,11,0,1|11,2,OD,1.67450753253
2,0,0,2|0,5,OD,1.37434012317
2,1,0,2|1,5,OD,1.70581391191
2,2,0,2|2,5,OD,1.76748972924
2,3,0,2|3,5,OD,1.41983062407
2,4,0,2|4,5,OD,1.50978278127
2,5,0,2|5,5,OD,1.69854399582
2,6,0,2|6,5,OD,1.60414981218
2,7,0,2|7,5,OD,1.50759143247
2,8,0,2|8,5,OD,1.95427225096
2,9,0,2|9,5,OD,1.6840860964
2,10,0,2|10,5,OD,1.77754404533
2,11,0,2|11,5,OD,1.67450753253
3,0,0,3|0,20,OD,1.37434012317
3,1,0,3|1,20,OD,1.70581391191
3,2,0,3|2,20,OD,1.76748972924
3,3,0,3|3,20,OD,1.41983062407
3,4,0,3|4,20,OD,1.50978278127
3,5,0,3|5,20,OD,1.69854399582
3,6,0,3|6,20,OD,1.60414981218
3,7,0,3|7,20,OD,1.50759143247
3,8,0,3|8,20,OD,1.95427225096
3,9,0,3|9,20,OD,1.6840860964
3,10,0,3|10,20,OD,1.77754404533
3,11,0,3|11,20,OD,1.67450753253
4,0,0,4|0,50,OD,1.37434012317
4,1,0,4|1,50,OD,1.70581391191
4,2,0,4|2,50,OD,1.76748972924
4,3,0,4|3,50,OD,1.41983062407
4,4,0,4|4,50,OD,1.50978278127
4,5,0,4|5,50,OD,1.69854399582
